"Date","Open","High","Low","Close","Volume","Adjusted","Year","Month","Month_Number","Daily_Return","Log_Return","Price_Range","SMA_20","SMA_50","SMA_200","RSI_14","Rolling_Volatility_30","SPY_Adjusted","SPY_Return","Raw_Signal","Position","Trade","Gross_Strategy_Return","Net_Strategy_Return","Buy_Hold_Return","Benchmark_Return","Buy_Hold_Cumulative","Benchmark_Cumulative","Gross_Strategy_Cumulative","Net_Strategy_Cumulative"
2020-03-13,66.2225036621094,69.9800033569336,63.2374992370605,69.4925003051758,370732000,67.1029281616211,2020,"Mar",3,0.119808181627783,0.113157404235472,6.74250411987305,70.6427471160889,73.7333871459961,NA,45.4290229693888,0.737278830012012,246.122817993164,0.0854862101724991,0,0,0,0,0,0.119808181627783,0.0854862101724991,0.119808181627783,0.0854862101724991,0,0
2020-03-16,60.4874992370605,64.7699966430664,60,60.5525016784668,322423600,58.4703521728516,2020,"Mar",3,-0.128646785248738,-0.137707856490816,4.76999664306641,69.6440608978271,73.4561169433594,NA,37.0498295739346,0.813899694443624,219.191146850586,-0.10942370708321,0,0,0,0,0,-0.128646785248738,-0.10942370708321,-0.0242515410338661,-0.0332917149322798,0,0
2020-03-17,61.877498626709,64.4024963378906,59.5999984741211,63.2150001525879,324056000,61.0412902832031,2020,"Mar",3,0.0439699439940311,0.0430306997682798,4.80249786376953,68.8457397460938,73.2443298339844,NA,40.5657688220453,0.82706792091271,231.025726318359,0.0539920504902536,0,0,0,0,0,0.0439699439940311,0.0539920504902536,0.018652064059137,0.0189028476044431,0,0
2020-03-18,59.9425010681152,62.5,59.2799987792969,61.6674995422363,300233600,59.547004699707,2020,"Mar",3,-0.0244799147685658,-0.0247845294523768,3.22000122070312,67.916939163208,72.9912419128418,NA,39.1954952669956,0.820731297713482,219.328231811523,-0.0506328654096145,0,0,0,0,0,-0.0244799147685658,-0.0506328654096145,-0.00628445164785429,-0.0326871231437857,0,0
2020-03-19,61.8474998474121,63.2099990844727,60.6525001525879,61.1949996948242,271857200,59.0907592773438,2020,"Mar",3,-0.00766193739994325,-0.00769144084126841,2.55749893188477,67.0054004669189,72.7358201599121,NA,38.7649327719661,0.819449128977668,219.794296264648,0.00212496334500845,0,0,0,0,0,-0.00766193739994325,0.00212496334500845,-0.0138982379726788,-0.0306316187373117,0,0
2020-03-20,61.7949981689453,62.9575004577637,57,57.310001373291,401693200,55.3393363952637,2020,"Mar",3,-0.0634857789603396,-0.0655905719066579,5.95750045776367,65.9937997817993,72.3822499847412,NA,35.3285030780013,0.832871146380381,210.322463989258,-0.0430940767634199,0,0,0,0,0,-0.0634857789603396,-0.0430940767634199,-0.0765016764691466,-0.072405654171478,0,0
2020-03-23,57.0200004577637,57.125,53.1525001525879,56.0924987792969,336752800,54.163688659668,2020,"Mar",3,-0.0212443410451941,-0.021473249875391,3.97249984741211,65.1028993606567,71.9741481781006,NA,34.3022444130094,0.833439096143078,204.944900512695,-0.0255681840853537,0,0,0,0,0,-0.0212443410451941,-0.0255681840853537,-0.0961207898089012,-0.0961225571621549,0,0
2020-03-24,59.0900001525879,61.9225006103516,58.5750007629395,61.7200012207031,287531200,59.5977020263672,2020,"Mar",3,0.100325762538872,0.0956062837238426,3.34749984741211,64.6056093215942,71.6713542938232,NA,42.6018535972053,0.892505546666109,223.513549804688,0.0906031291607665,0,0,0,0,0,0.100325762538872,0.0906031291607665,-0.0054384188034462,-0.0142284324632143,0,0
2020-03-25,62.6875,64.5625,61.0750007629395,61.3800010681152,303602000,59.2693901062012,2020,"Mar",3,-0.00550880166521794,-0.00552403106937416,3.48749923706055,64.0367427825928,71.3300607299805,NA,42.2545325964832,0.892513020005746,226.859603881836,0.0149702516025194,0,0,0,0,0,-0.00550880166521794,0.0149702516025194,-0.0109172612981036,0.000528815925421311,0,0
2020-03-26,61.6300010681152,64.6699981689453,61.5900001525879,64.6100006103516,252087200,62.3883247375488,2020,"Mar",3,0.0526230255745677,0.0512851686503761,3.07999801635742,63.8547250747681,71.0717607879639,NA,46.7001571413314,0.905056235789642,240.105895996094,0.0583898229900701,0,0,0,0,0,0.0526230255745677,0.0583898229900701,0.0411312649559699,0.0589495163837712,0,0
2020-03-27,63.1875,63.9674987792969,61.7625007629395,61.935001373291,204216800,59.805305480957,2020,"Mar",3,-0.0414022858837431,-0.0422837768658994,2.20499801635742,63.5454874038696,70.7682544708252,NA,43.6996226585168,0.910774056796599,232.954147338867,-0.0297858102465877,0,0,0,0,0,-0.0414022858837431,-0.0297858102465877,-0.00197394931824024,0.0274078470280483,0,0
2020-03-30,62.685001373291,63.8800010681152,62.3499984741211,63.7024993896484,167976400,61.5120277404785,2020,"Mar",3,0.0285379741110918,0.0281383512679697,1.53000259399414,63.0144004821777,70.4800981140137,NA,46.1611027542629,0.916512726263518,240.519485473633,0.0324756533471828,0,0,0,0,0,0.0285379741110918,0.0324756533471828,0.026507692278311,0.0607735881143068,0,0
2020-03-31,63.9000015258789,65.6224975585938,63,63.5724983215332,197002000,61.3864974975586,2020,"Mar",3,-0.00204074304702717,-0.00204282820044369,2.62249755859375,62.5915824890137,70.1726210021973,NA,46.0017975276496,0.915898003380132,236.934463500977,-0.0149053286289741,0,0,0,0,0,-0.00204074304702717,-0.0149053286289741,0.0244128538425741,0.0449624091825269,0,0
2020-04-01,61.625,62.1800003051758,59.7825012207031,60.2275009155273,176218400,58.1565170288086,2020,"Apr",4,-0.0526171161480333,-0.0540519550986173,2.39749908447266,61.8452838897705,69.8109481811523,NA,41.9866518768943,0.923523408975304,226.271286010742,-0.0450047550393209,0,0,0,0,0,-0.0526171161480333,-0.0450047550393209,-0.0294887962715989,-0.00206586806803122,0,0
2020-04-02,60.0849990844727,61.2874984741211,59.2249984741211,61.2324981689453,165934000,59.1269607543945,2020,"Apr",4,0.0166867579966183,0.0165490637198324,2.0625,61.2660362243652,69.4632411193848,NA,43.5800144657875,0.92628849710092,231.492630004883,0.0230755925163777,0,0,0,0,0,0.0166867579966183,0.0230755925163777,-0.0132941106819763,0.0209620533186159,0,0
2020-04-03,60.7000007629395,61.4249992370605,59.7425003051758,60.3525009155273,129880000,58.2772216796875,2020,"Apr",4,-0.0143714316424403,-0.0144757008705663,1.68249893188477,60.6912551879883,69.0911700439453,NA,42.4798204603088,0.925405734071436,228.146530151367,-0.0144544552171922,0,0,0,0,0,-0.0143714316424403,-0.0144544552171922,-0.0274744869215036,0.00620460304046944,0,0
2020-04-06,62.7249984741211,65.7774963378906,62.3450012207031,65.6175003051758,201820400,63.3611907958984,2020,"Apr",4,0.0872376714208212,0.0836402332000691,3.4324951171875,60.6465957641602,68.8252101135254,NA,50.5271347851738,0.956031772707075,243.470291137695,0.0671663118267078,0,0,0,0,0,0.0872376714208212,0.0671663118267078,0.0573663742368038,0.0737876551697543,0,0
2020-04-07,67.6999969482422,67.9250030517578,64.75,64.8574981689453,202887200,62.6273078918457,2020,"Apr",4,-0.0115825301708224,-0.0116501301663557,3.17500305175781,60.3338579177856,68.589655380249,NA,49.4516117084978,0.951847781224281,243.718521118164,0.00101954936394422,0,0,0,0,0,-0.0115825301708224,0.00101954936394422,0.0451193963055929,0.0748824346905939,0,0
